Time, clk, input, output, check
                5125, 1, 1.000000, 1.000000, 1.000000
               10225, 1, 2.000000, 0.500000, 0.500000
               14575, 1, 3.000000, 0.333332, 0.333333
               19625, 1, 4.000000, 0.250000, 0.250000
               23925, 1, 5.000000, 0.199999, 0.200000
               28225, 1, 6.000000, 0.166666, 0.166667
               32525, 1, 7.000000, 0.142857, 0.142857
               37525, 1, 8.000000, 0.125000, 0.125000
               41025, 1, 9.000000, 0.111111, 0.111111
               45275, 1, 10.000000, 0.099998, 0.100000
               49525, 1, 11.000000, 0.090908, 0.090909
               53775, 1, 12.000000, 0.083332, 0.083333
               58775, 1, 13.000000, 0.076921, 0.076923
               63025, 1, 14.000000, 0.071428, 0.071429
               67275, 1, 15.000000, 0.066666, 0.066667
               72225, 1, 16.000000, 0.062500, 0.062500
               77175, 1, 17.000000, 0.058823, 0.058824
               80625, 1, 18.000000, 0.055555, 0.055556
               84825, 1, 19.000000, 0.052631, 0.052632
               89025, 1, 20.000000, 0.049999, 0.050000
               93225, 1, 21.000000, 0.047619, 0.047619
               97425, 1, 22.000000, 0.045454, 0.045455
